City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
344,saint-joseph,-21.3667,55.6167,24.21,84,13,3.55,RE,1677360235
345,noumea,-22.2763,166.4572,26.11,99,100,3.67,NC,1677360237
346,forestville,38.8451,-76.875,2.58,87,100,2.57,US,1677360238
347,umm lajj,25.0213,37.2685,19.65,57,0,2.12,SA,1677360241
348,kikuchi,32.9833,130.8167,4.62,86,11,1.78,JP,1677360242
349,san luis,-33.295,-66.3356,30.96,25,65,2.3,AR,1677360244
350,pucara,-15.9803,-71.4606,5.07,85,100,5.62,PE,1677360245
351,prince rupert,54.3161,-130.3201,1.05,93,100,8.75,CA,1677360028
352,biloela,-24.4167,150.5,20.24,83,24,2.29,AU,1677360248
353,awbari,26.5921,12.7805,26.5,10,69,8.74,LY,1677360250
354,havoysund,70.9963,24.6622,-1.87,81,32,5.4,NO,1677360133
355,dire dawa,9.5931,41.8661,22.83,46,42,3.18,ET,1677360255
356,beringovskiy,63.05,179.3167,-26.88,91,18,2.42,RU,1677360257
357,yar-sale,66.8333,70.8333,-15.69,98,90,3.16,RU,1677360258
358,leh,34.1667,77.5833,-16.1,67,77,0.99,IN,1677360260
359,coahuayana,18.7333,-103.6833,31.31,41,5,3.51,MX,1677360261
360,vicosa,-20.7539,-42.8819,22.95,88,100,2.86,BR,1677360263
361,ambatolampy,-19.3833,47.4167,16.08,82,97,2.26,MG,1677360264
362,zyryanka,65.75,150.85,-30.27,95,23,4.21,RU,1677360266
363,hirara,24.8,125.2833,16.15,66,100,12.97,JP,1677360267
